iter	RMSE
0	104.1735517
1	103.9450675
2	103.7252032
3	103.5869596
4	103.3788841
5	103.1428316
6	102.9946941
7	102.8266836
8	102.537471
9	102.2423801
10	102.1205858
11	101.9185443
12	101.7095752
13	101.5324989
14	101.3986695
15	101.2170622
16	101.093277
17	100.9770622
18	100.8354833
19	100.7573197
20	100.6824651
21	100.551451
22	100.3927654
23	100.2748055
24	100.1828645
25	100.0634603
26	99.92329796
27	99.79890766
28	99.6393646
29	99.52696878
30	99.41496329
31	99.27328804
32	99.20352444
33	99.08169445
34	98.97545651
35	98.86630139
36	98.77274227
37	98.69129262
38	98.59099822
39	98.54196077
40	98.48240398
41	98.40752121
42	98.28584977
43	98.22915882
44	98.14144601
45	98.05456086
46	97.97669631
47	97.92281496
48	97.8286258
49	97.73999969
50	97.70329218
51	97.623001
52	97.54757794
53	97.46704058
54	97.33072355
55	97.24527025
56	97.12753734
57	97.06152225
58	96.9575934
59	96.84420183
60	96.79076596
61	96.75996412
62	96.70228637
63	96.62529124
64	96.54200612
65	96.48158983
66	96.42975163
67	96.33976583
68	96.26925769
69	96.18990275
70	96.13198701
71	96.07949211
72	96.01942936
73	95.97105339
74	95.92267057
75	95.85440192
76	95.796845
77	95.73413719
78	95.68998336
79	95.62206707
80	95.56580396
81	95.47671552
82	95.44409918
83	95.40551385
84	95.34789672
85	95.30588693
86	95.26803248
87	95.22681004
88	95.18804285
89	95.13547034
90	95.0720819
91	95.02986018
92	94.95562558
93	94.91442514
94	94.88237451
95	94.85986161
96	94.84193085
97	94.78288073
98	94.73786729
99	94.68085443
100	94.60164565
101	94.51003466
102	94.47152512
103	94.44147486
104	94.36960663
105	94.29410336
106	94.25450835
107	94.19685593
108	94.13744475
109	94.10982128
110	94.06017206
111	94.00615875
112	93.95950554
113	93.91491868
114	93.84401891
115	93.80414348
116	93.73834278
117	93.70199452
118	93.65616269
119	93.61042138
120	93.52931777
121	93.48652121
122	93.4523734
123	93.41980744
124	93.38190598
125	93.34291673
126	93.28788299
127	93.25554377
128	93.21085496
129	93.17347476
130	93.13001598
131	93.08837617
132	93.05419432
133	92.97470911
134	92.89556476
135	92.819794
136	92.78905899
137	92.68433478
138	92.64279422
139	92.60815855
140	92.57078194
141	92.54607545
142	92.50604522
143	92.46573956
144	92.42500305
145	92.38508781
146	92.32258455
147	92.2848749
148	92.19871615
149	92.16601236
150	92.09674851
151	92.05207474
152	92.01739912
153	91.99971545
154	91.9459068
155	91.86526251
156	91.84082295
157	91.79302758
158	91.7590239
159	91.7166804
160	91.69060234
161	91.62708743
162	91.57261602
163	91.54283644
164	91.51492267
165	91.48257246
166	91.42802821
167	91.38342107
168	91.34361835
169	91.30972486
170	91.27767918
171	91.26082161
172	91.22458479
173	91.18034486
174	91.14615038
175	91.09701456
176	91.0696995
177	91.04106731
178	91.00211382
179	90.96437005
180	90.94818059
181	90.90418081
182	90.88869185
183	90.7889019
184	90.74783295
185	90.70499066
186	90.68889718
187	90.65134164
188	90.60448751
189	90.56717505
190	90.52284653
191	90.50746309
192	90.47865707
193	90.41890496
194	90.38936496
195	90.35374698
196	90.33146014
197	90.30563988
198	90.26591747
199	90.24120659
200	90.21109975
201	90.18906826
202	90.16271673
203	90.12814269
204	90.10414587
205	90.06232977
206	90.03295914
207	90.01270782
208	89.99355357
209	89.97010801
210	89.94761638
211	89.93433408
212	89.92224511
213	89.89678382
214	89.86181627
215	89.82900104
216	89.78273116
217	89.71129618
218	89.67877506
219	89.6449864
220	89.60993948
221	89.48916135
222	89.45654372
223	89.41879663
224	89.39572781
225	89.38429733
226	89.34405699
227	89.33264597
228	89.30274591
229	89.29180063
230	89.2708555
231	89.23842603
232	89.17540067
233	89.14509753
234	89.08690074
235	89.05821675
236	88.96137113
237	88.92782633
238	88.91827361
239	88.90403767
240	88.87490891
241	88.8543947
242	88.8321703
243	88.78333064
244	88.75962976
245	88.74792438
246	88.70761301
247	88.69806198
248	88.67158462
249	88.65182831
250	88.62407355
251	88.58485905
252	88.56365633
253	88.529718
254	88.51048292
255	88.47986991
256	88.45713566
257	88.43427717
258	88.40723855
259	88.39064594
260	88.36800718
261	88.28773636
262	88.25369963
263	88.24528475
264	88.20356157
265	88.19129048
266	88.15935576
267	88.13802153
268	88.09785896
269	88.08104435
270	88.06064345
