"Date,""MCP"",""Buy_LV_LOAD"",""Buy_Natural Gas_SUPPLY"",""Buy_RES_SUPPLY"",""Sell_LV_LOAD"",""Sell_Natural Gas_SUPPLY"",""Sell_RES_SUPPLY"",""Buy_MV_LOAD"",""Sell_MV_LOAD"",""Sell_HV_LOAD"",""Buy_HV_LOAD"",""Sell_Big Hydro_SUPPLY"",""Buy_Lignite_SUPPLY"",""Sell_Lignite_SUPPLY"",""Buy_Big Hydro_SUPPLY"",""Buy_PUMP_LOAD"",""Sell_PUMP_LOAD"",""Buy_Exports_GR-IT"",""Sell_Imports_IT-GR"""
2020-11-01 00:00:00,59.52,NULL,NULL,3.632,0.31,NULL,3.322,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 01:00:00,59.01,NULL,NULL,3.737,NULL,NULL,3.737,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 02:00:00,59.21,NULL,NULL,0.837,NULL,NULL,0.837,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 03:00:00,59.21,0.31,NULL,0.25,NULL,NULL,0.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 04:00:00,59.31,NULL,NULL,1.457,NULL,NULL,1.457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 05:00:00,59.01,NULL,NULL,1.559,0.15,NULL,1.409,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 06:00:00,47.59,NULL,NULL,2.988,0.3,NULL,2.688,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 07:00:00,55.97,NULL,NULL,6.186,0.47,NULL,5.716,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 08:00:00,59.01,NULL,NULL,5.18,0.16,NULL,5.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 09:00:00,41.01,NULL,NULL,5.373,0.69,NULL,4.683,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 10:00:00,42.91,NULL,NULL,2.603,0.89,NULL,1.713,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 11:00:00,42.91,NULL,NULL,0.807,0.54,NULL,0.267,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 12:00:00,42.91,NULL,NULL,1.31,0.69,NULL,0.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 13:00:00,35.74,NULL,1.647,NULL,0.49,NULL,1.157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 14:00:00,45.11,NULL,NULL,0.821,0.65,NULL,0.171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 15:00:00,59.69,NULL,NULL,1.012,0.67,NULL,0.342,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 16:00:00,64.91,NULL,NULL,2.088,1.46,NULL,0.628,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 17:00:00,100,NULL,NULL,3.341,2.31,0.179,0.852,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 18:00:00,59.62,NULL,NULL,4.765,1.14,3.412,0.213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 19:00:00,70.89,NULL,NULL,2.168,0.38,1.228,0.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 20:00:00,65.47,NULL,NULL,0.854,0.56,NULL,0.294,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 21:00:00,64.91,NULL,NULL,0.317,NULL,NULL,0.317,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 22:00:00,57.71,NULL,NULL,0.601,NULL,NULL,0.601,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 23:00:00,41.26,NULL,NULL,1.125,NULL,0.389,0.736,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 00:00:00,43.29,NULL,NULL,0.987,0.48,NULL,0.507,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 01:00:00,43.29,NULL,NULL,0.76,0.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 02:00:00,43.21,NULL,NULL,0.96,0.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 03:00:00,43.29,NULL,NULL,1.212,0.98,NULL,0.232,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 04:00:00,43.29,NULL,NULL,2.224,1.23,NULL,0.994,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 05:00:00,24,NULL,NULL,6.851,6.851,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 06:00:00,24,NULL,NULL,7.39,7.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 07:00:00,24,NULL,NULL,9.215,9.215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 08:00:00,42.03,NULL,NULL,5.641,5.641,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 09:00:00,48.63,NULL,NULL,4.712,4.642,NULL,0.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 10:00:00,40.99,NULL,NULL,3.326,3.326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 11:00:00,24,NULL,NULL,9.134,9.134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 12:00:00,24,NULL,NULL,8.182,8.182,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 13:00:00,18,NULL,NULL,8.277,8.277,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 14:00:00,24,NULL,NULL,7.208,7.208,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 15:00:00,36,NULL,NULL,8.333,8.333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 16:00:00,60,NULL,NULL,11.08,11.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 17:00:00,60.1,NULL,NULL,9.14,9.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 18:00:00,74.29,NULL,NULL,3.952,3.952,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 19:00:00,77.79,NULL,NULL,2.42,2.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 20:00:00,77.26,NULL,NULL,1.47,1.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 21:00:00,80.23,NULL,NULL,1.48,1.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 22:00:00,45.62,NULL,NULL,1.71,1.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 23:00:00,41.09,NULL,NULL,1.46,1.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 00:00:00,41.28,3.826,NULL,3.669,NULL,33.041,0.147,25.693,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 01:00:00,40.88,3.59,NULL,2.696,NULL,27.978,0.212,21.904,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 02:00:00,41.26,3.526,NULL,2.013,NULL,24.335,0.013,18.809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 03:00:00,41.27,3.75,NULL,1.695,NULL,24.84,0.215,19.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 04:00:00,41.26,3.394,NULL,2.237,NULL,24.996,0.385,19.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 05:00:00,75.11,2.998,NULL,NULL,NULL,12.63,0.326,9.958,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 06:00:00,88.8,4.095,NULL,NULL,NULL,9.328,0.433,5.666,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 07:00:00,88.8,11.906,NULL,0.054,NULL,22.9,0.766,11.706,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 08:00:00,88.8,12.142,NULL,NULL,NULL,23.053,1.422,12.333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 09:00:00,88.8,11.929,NULL,NULL,NULL,20.124,3.041,11.236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 10:00:00,88.8,11.915,NULL,NULL,NULL,9.024,13.792,10.901,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 11:00:00,88.8,8.129,NULL,0.053,NULL,3.429,10.668,5.915,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 12:00:00,88.8,14.915,NULL,0.149,NULL,16.97,10.762,13.26,0.592,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 13:00:00,87.61,14.711,NULL,0.133,NULL,11.864,10.853,8.527,0.654,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 14:00:00,88.8,20.19,NULL,0.066,NULL,25.78,10.896,16.763,0.343,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 15:00:00,88.8,19.822,NULL,0.001,NULL,19.864,10.572,14.127,3.514,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 16:00:00,89.43,13.238,NULL,0.01,NULL,9.474,10.252,10.007,3.529,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 17:00:00,129.3,13.853,NULL,NULL,NULL,15,10.784,15.423,3.492,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 18:00:00,85.9,5.93,NULL,0.971,NULL,NULL,0.739,1.52,7.682,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 19:00:00,82.95,11.669,NULL,0.159,NULL,NULL,6.384,6.122,11.566,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 20:00:00,73.95,8.687,NULL,0.152,NULL,NULL,5.998,4.203,7.044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 21:00:00,69.1,13.18,NULL,NULL,NULL,NULL,14.087,10.825,9.918,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 22:00:00,52.8,11.359,NULL,NULL,NULL,NULL,11.728,8.438,8.069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 23:00:00,41.26,4.097,NULL,NULL,NULL,19.772,7.806,23.481,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 00:00:00,41.33,1.753,104.751,2.12,4.935,103.689,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 01:00:00,38,1.963,NULL,1.607,3.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 02:00:00,36.95,1.518,NULL,1.843,3.361,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 03:00:00,33.94,1.393,NULL,1.637,3.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 04:00:00,36.15,2.187,NULL,1.238,3.425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 05:00:00,37.99,2.765,NULL,1.175,3.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 06:00:00,51.5,3.437,NULL,NULL,NULL,NULL,3.437,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 07:00:00,51.5,3.016,NULL,NULL,NULL,NULL,3.016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 08:00:00,48.45,1.698,NULL,1.319,0.498,2.342,0.177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 09:00:00,45.71,NULL,NULL,5.014,0.951,3.867,0.196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 10:00:00,41.26,0.95,NULL,3.672,0.834,3.523,0.265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 11:00:00,40.86,0.98,NULL,5.921,1.624,4.948,0.329,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 12:00:00,40.87,0.96,NULL,3.502,1.288,2.904,0.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 13:00:00,41.45,1.699,NULL,1.788,NULL,3.276,0.211,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 14:00:00,45.95,1.995,NULL,0.527,NULL,NULL,2.522,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 15:00:00,51.5,3.936,NULL,0.552,NULL,NULL,4.488,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 16:00:00,54.28,4.239,NULL,2.187,NULL,6.426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 17:00:00,69.5,6.698,NULL,NULL,NULL,NULL,6.698,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 18:00:00,71.9,7.336,NULL,0.137,NULL,NULL,7.473,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 19:00:00,61.29,5.081,NULL,0.365,NULL,NULL,5.446,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 20:00:00,51.72,5.928,NULL,0.248,NULL,NULL,6.176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 21:00:00,40.87,5.505,NULL,2.141,NULL,7.646,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 22:00:00,40.86,4.754,NULL,0.295,NULL,1.143,3.906,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 23:00:00,34.06,5.7,NULL,0.677,NULL,NULL,6.377,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 00:00:00,33.5,4.481,NULL,2.711,0.811,NULL,6.381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 01:00:00,39.58,4.685,NULL,4.881,3.339,NULL,6.227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 02:00:00,33.55,4.71,NULL,3.191,0.24,NULL,7.661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 03:00:00,32.48,4.683,NULL,2.578,3.269,NULL,3.992,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 04:00:00,36.85,5.171,NULL,2.196,3.309,NULL,3.258,NULL,NULL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 05:00:00,41.98,7.82,NULL,0.761,3.798,NULL,3.983,NULL,NULL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 06:00:00,52.92,10.01,NULL,NULL,0.004,NULL,9.206,NULL,NULL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 07:00:00,54.91,8.885,NULL,1.008,1.098,NULL,8.795,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 08:00:00,59.68,10.519,NULL,NULL,2.075,NULL,8.444,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 09:00:00,47.41,10.617,NULL,1.861,0.918,11.333,0.227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 10:00:00,51.06,9.792,NULL,NULL,1.835,NULL,7.957,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 11:00:00,47.56,8.834,NULL,NULL,1.087,NULL,7.747,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 12:00:00,41.03,9.975,NULL,3.195,0.919,12.141,0.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 13:00:00,40.86,9.323,NULL,0.907,1.164,8.923,0.143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 14:00:00,40.87,8.704,NULL,5.346,1.747,12.158,0.145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 15:00:00,51.52,9.43,NULL,NULL,0.001,NULL,9.429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 16:00:00,46.04,8.582,NULL,2.25,0.273,10.559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 17:00:00,54.97,6.043,NULL,2.409,2.968,5.484,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 18:00:00,55.13,5.416,NULL,0.979,0.957,5.074,0.364,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 19:00:00,46.24,6.947,NULL,4.988,1.01,10.925,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 20:00:00,41.38,4.341,NULL,5.043,1.178,8.206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 21:00:00,38.6,2.5,NULL,0.545,1.173,NULL,1.872,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 22:00:00,36.06,3.783,NULL,0.72,0.826,NULL,3.677,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 23:00:00,29.56,3.569,NULL,1.365,0.79,NULL,4.144,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 00:00:00,33.2,0.7,NULL,0.265,NULL,NULL,1.765,NULL,NULL,NULL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 01:00:00,31.4,NULL,NULL,1.469,0.307,NULL,1.962,NULL,NULL,NULL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 02:00:00,29.71,0.71,NULL,0.742,0.568,NULL,1.684,NULL,NULL,NULL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 03:00:00,28.4,NULL,NULL,0.872,0.644,NULL,1.028,NULL,NULL,NULL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 04:00:00,27.55,NULL,NULL,0.513,0.247,NULL,1.066,NULL,NULL,NULL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 05:00:00,35.03,0.94,NULL,0.129,0.26,NULL,1.609,NULL,NULL,NULL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 06:00:00,44.78,1.906,NULL,NULL,NULL,NULL,2.706,NULL,NULL,NULL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 07:00:00,45.87,0.705,NULL,8.838,0.47,8.96,0.113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 08:00:00,46.52,2.194,NULL,5.89,NULL,7.891,0.193,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 09:00:00,45.66,3.99,NULL,6.269,0.606,9.429,0.224,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 10:00:00,41.26,4.372,NULL,1.382,NULL,5.465,0.289,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 11:00:00,40.86,3.53,NULL,2.329,0.758,4.541,0.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 12:00:00,38.89,3.52,NULL,NULL,1.594,NULL,1.926,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 13:00:00,38.33,3.52,NULL,0.036,1.32,NULL,2.236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 14:00:00,40.86,3.03,NULL,2.106,1.236,3.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 15:00:00,44.5,70.376,NULL,8.103,NULL,78.479,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 16:00:00,46,2.35,52.943,12.301,0.129,67.465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 17:00:00,46.13,2.11,NULL,10.429,1.756,10.783,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 18:00:00,46.35,3.293,NULL,9.263,NULL,12.556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 19:00:00,46.46,0.94,NULL,7.8,1.851,6.889,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 20:00:00,43.5,3,NULL,9.057,NULL,12.057,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 21:00:00,40.86,0.23,16,0.716,0.698,16.248,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 22:00:00,36.8,NULL,0.501,0.671,0.671,0.501,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 23:00:00,31.87,NULL,1.164,0.94,0.94,1.164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-07 00:00:00,35.66,2.169,NULL,1.377,0.14,NULL,NULL,NULL,3.406,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-07 01:00:00,33.22,1.634,NULL,1.803,0.188,NULL,NULL,NULL,3.249,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-07 02:00:00,28.07,1.583,NULL,1.46,0.094,NULL,NULL,NULL,2.949,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-07 03:00:00,27.17,1.655,NULL,2.111,0.19,NULL,0.56,NULL,3.016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-07 04:00:00,28.27,1.327,NULL,2.6,0.19,NULL,0.749,NULL,2.988,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-07 05:00:00,32.57,0.736,NULL,2.173,0.002,NULL,0.654,NULL,2.253,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-07 06:00:00,31.89,0.965,NULL,1.905,NULL,NULL,1.252,NULL,1.618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-07 07:00:00,38,1.054,NULL,0.886,NULL,NULL,0.203,NULL,1.737,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-07 08:00:00,40.18,1.689,11.187,0.966,0.09,NULL,1.519,NULL,1.846,NULL,0.8,11.187,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-07 09:00:00,36.99,2.175,NULL,0.958,NULL,NULL,2.142,NULL,1.791,NULL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
