"Date,""MCP"",""Buy_LV_LOAD"",""Buy_MV_LOAD"",""Buy_Big Hydro_SUPPLY"",""Buy_Natural Gas_SUPPLY"",""Buy_RES_SUPPLY"",""Sell_LV_LOAD"",""Sell_Big Hydro_SUPPLY"",""Sell_Natural Gas_SUPPLY"",""Sell_RES_SUPPLY"",""Sell_Lignite_SUPPLY"",""Buy_PUMP_LOAD"",""Sell_MV_LOAD"",""Buy_Lignite_SUPPLY"",""Buy_HV_LOAD"",""Sell_HV_LOAD"",""Sell_PUMP_LOAD"",""Buy_Exports_GR-IT"",""Sell_Imports_IT-GR"""
2020-11-01 00:00:00,59.52,NULL,NULL,NULL,161.209,1.261,1.03,160,NULL,0.231,1.209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 01:00:00,59.11,NULL,NULL,NULL,NULL,0.599,0.576,NULL,NULL,0.023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 02:00:00,59.11,NULL,NULL,NULL,NULL,0.668,0.668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 03:00:00,59.11,NULL,NULL,NULL,NULL,0.762,0.762,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 04:00:00,59.11,0.203,NULL,NULL,NULL,0.355,0.556,NULL,NULL,0.002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 05:00:00,59.01,NULL,NULL,NULL,NULL,0.842,0.842,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 06:00:00,47.59,NULL,NULL,NULL,NULL,1.236,1,NULL,NULL,0.236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 07:00:00,53.43,NULL,NULL,NULL,NULL,7.021,1.151,NULL,5.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 08:00:00,59.01,NULL,NULL,NULL,NULL,1.916,0.855,NULL,NULL,1.061,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 09:00:00,41.01,NULL,NULL,NULL,NULL,2.354,1.397,NULL,NULL,0.957,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 10:00:00,39.01,NULL,NULL,NULL,NULL,1.549,1.374,NULL,NULL,0.175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 11:00:00,39.01,NULL,NULL,NULL,NULL,1.73,1.008,NULL,NULL,0.722,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 12:00:00,39.01,NULL,NULL,NULL,NULL,2.135,1.706,NULL,NULL,0.429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 13:00:00,27.11,NULL,NULL,NULL,NULL,1.029,1.029,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 14:00:00,41.28,0.119,NULL,NULL,20,1.327,0.78,NULL,20.575,0.091,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 15:00:00,58.26,0.194,NULL,NULL,0.621,1.461,0.783,NULL,NULL,1.493,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 16:00:00,59.11,0.442,NULL,NULL,NULL,1.124,1.566,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 17:00:00,92.12,0.012,2.576,63.846,192,1.862,2.339,255.846,2,0.111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 18:00:00,59.62,NULL,NULL,NULL,NULL,1.24,1.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 19:00:00,65.92,0.017,NULL,NULL,NULL,0.492,0.389,NULL,NULL,0.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 20:00:00,59.62,NULL,NULL,NULL,NULL,0.813,0.813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 21:00:00,59.11,NULL,NULL,NULL,15,0.443,0.443,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 22:00:00,52.56,NULL,NULL,NULL,15,0.418,0.418,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 23:00:00,41.06,NULL,NULL,NULL,15,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 00:00:00,41.26,NULL,NULL,NULL,NULL,2.378,0.937,NULL,1.441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 01:00:00,43.09,NULL,NULL,NULL,NULL,2.075,1.437,NULL,NULL,0.638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 02:00:00,43.01,NULL,NULL,NULL,NULL,2.008,1.851,NULL,NULL,0.157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 03:00:00,38.79,NULL,NULL,NULL,NULL,3.86,3.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 04:00:00,31.3,NULL,NULL,NULL,0.363,6.967,7.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 05:00:00,34,NULL,NULL,NULL,NULL,6.72,6.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 06:00:00,34,NULL,NULL,NULL,11.702,6.704,6.697,NULL,NULL,0.007,11.702,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 07:00:00,34,NULL,NULL,NULL,NULL,7.622,7.595,NULL,NULL,0.027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 08:00:00,35.75,NULL,NULL,NULL,18.698,10.19,28.857,NULL,NULL,0.031,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 09:00:00,36.68,NULL,NULL,NULL,24.348,10.567,34.86,NULL,NULL,0.055,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 10:00:00,34.29,NULL,NULL,NULL,32.931,8.671,41.529,NULL,NULL,0.073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 11:00:00,34,NULL,NULL,NULL,NULL,5.498,5.408,NULL,NULL,0.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 12:00:00,34,NULL,NULL,NULL,NULL,4.303,4.178,NULL,NULL,0.125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 13:00:00,28,NULL,NULL,NULL,NULL,4.673,4.515,NULL,NULL,0.158,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 14:00:00,34,NULL,NULL,NULL,NULL,5.705,5.587,NULL,NULL,0.118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 15:00:00,46,NULL,NULL,NULL,NULL,7.684,7.681,NULL,NULL,0.003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 16:00:00,70,NULL,NULL,93.066,NULL,10.956,10.956,NULL,NULL,NULL,93.066,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 17:00:00,70,NULL,NULL,332.304,NULL,13.236,13.236,206.304,NULL,NULL,126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 18:00:00,70,NULL,NULL,283.773,NULL,11.882,11.882,157.773,NULL,NULL,126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 19:00:00,88.08,NULL,NULL,316.97,NULL,5.06,5.053,190.97,0.007,NULL,126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 20:00:00,89.98,NULL,NULL,328.191,NULL,3.178,2.937,202.191,NULL,0.241,126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 21:00:00,84.69,NULL,NULL,NULL,NULL,3.124,3.124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 22:00:00,50.08,NULL,NULL,NULL,NULL,3.369,3.369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 23:00:00,40.87,NULL,NULL,NULL,NULL,2.831,2.831,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 00:00:00,41.28,25.883,41.283,NULL,137,NULL,NULL,NULL,203.124,1.042,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 01:00:00,40.89,25.017,41.498,NULL,NULL,0.09,NULL,NULL,65.127,1.478,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 02:00:00,41.27,24.413,40.957,NULL,NULL,NULL,NULL,NULL,63.648,1.722,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 03:00:00,41.28,24.005,40.661,NULL,NULL,NULL,NULL,NULL,62.831,1.835,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 04:00:00,41.26,24.906,41.633,NULL,NULL,NULL,NULL,NULL,64.939,1.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 05:00:00,43.61,26.7,46.081,NULL,NULL,NULL,NULL,NULL,71.065,1.716,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 06:00:00,69.85,28.521,50.229,NULL,NULL,0.031,NULL,NULL,76.128,2.653,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 07:00:00,89.57,32.034,51.003,NULL,NULL,0.216,NULL,NULL,81.705,1.548,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 08:00:00,89.71,23.894,46.838,NULL,NULL,0.383,NULL,NULL,69.388,1.727,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 09:00:00,89.33,25.729,47.238,NULL,NULL,0.348,NULL,NULL,71.349,1.966,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 10:00:00,89.3,26.137,48.143,15,NULL,0.228,NULL,NULL,70.409,3.099,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 11:00:00,89.26,30.463,54.235,15,NULL,0.133,NULL,NULL,79.311,4.52,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 12:00:00,88.8,26.573,43.424,10,NULL,NULL,NULL,NULL,64.724,4.273,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 13:00:00,78.7,28.162,44.118,NULL,NULL,NULL,NULL,NULL,65.862,6.418,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 14:00:00,88.8,27.269,38.548,NULL,NULL,NULL,NULL,NULL,60.266,5.551,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 15:00:00,88.8,29.536,38.364,NULL,NULL,NULL,NULL,NULL,65.263,2.637,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 16:00:00,91.95,34.598,40.186,NULL,NULL,NULL,NULL,NULL,72.567,2.217,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 17:00:00,117.7,26.501,35.466,NULL,NULL,NULL,NULL,NULL,59.092,2.875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 18:00:00,93.5,44.068,55.387,10,NULL,NULL,NULL,NULL,94.962,3.493,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 19:00:00,99.83,41.063,44.241,25,NULL,NULL,NULL,NULL,82,2.304,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 20:00:00,90.53,37.956,40.699,25,NULL,NULL,NULL,NULL,74.941,2.714,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 21:00:00,88.8,27.875,31.217,NULL,NULL,NULL,NULL,NULL,55.997,3.095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 22:00:00,74.07,26.916,32.062,NULL,NULL,NULL,NULL,NULL,51.582,7.396,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 23:00:00,41.27,30.77,42.5,NULL,NULL,NULL,NULL,NULL,71.461,1.809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 00:00:00,41.26,0.185,NULL,NULL,222,0.232,NULL,NULL,347.417,NULL,NULL,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 01:00:00,38.85,NULL,NULL,NULL,130,0.8,0.8,NULL,255,NULL,NULL,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 02:00:00,38.85,NULL,NULL,NULL,NULL,1.422,NULL,NULL,125,1.422,125,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 03:00:00,36.85,NULL,NULL,NULL,NULL,3.802,0.313,NULL,125,3.489,125,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 04:00:00,40.05,0.369,NULL,NULL,NULL,NULL,NULL,NULL,125,0.369,NULL,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 05:00:00,41.26,0.548,NULL,NULL,NULL,NULL,NULL,NULL,125.548,NULL,NULL,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 06:00:00,52.8,1.366,NULL,NULL,30.199,6.526,0.247,NULL,NULL,7.645,30.199,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 07:00:00,62.25,1.093,NULL,NULL,NULL,6.106,0.348,NULL,NULL,6.851,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 08:00:00,48.32,0.57,NULL,NULL,69,10.813,NULL,NULL,74.603,5.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 09:00:00,44.8,0.261,NULL,NULL,40,13.419,NULL,NULL,46.491,7.189,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 10:00:00,40.89,0.261,NULL,NULL,NULL,16.126,NULL,NULL,8.676,7.711,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 11:00:00,41.27,NULL,NULL,NULL,NULL,16.199,1.221,NULL,14.978,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 12:00:00,42.26,NULL,NULL,NULL,NULL,12.163,0.93,NULL,11.233,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 13:00:00,41.45,0.779,NULL,NULL,NULL,2.634,NULL,NULL,3.413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 14:00:00,46.35,1.032,NULL,NULL,NULL,0.538,NULL,NULL,NULL,1.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 15:00:00,51.9,1.931,NULL,NULL,NULL,0.084,NULL,NULL,NULL,2.015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 16:00:00,56.5,2.089,NULL,NULL,55,4.141,NULL,NULL,NULL,6.23,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 17:00:00,85.7,3.264,NULL,NULL,56,0.943,0.02,NULL,NULL,4.187,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 18:00:00,83.9,3.892,NULL,NULL,56,1.998,NULL,NULL,NULL,5.89,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 19:00:00,72.95,2.338,NULL,NULL,57,3.788,0.198,NULL,NULL,5.928,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 20:00:00,61.95,2.787,NULL,NULL,NULL,7.571,0.055,NULL,5.407,4.896,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 21:00:00,41.66,2.401,NULL,NULL,NULL,12.779,NULL,NULL,15.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 22:00:00,40.86,2.053,NULL,NULL,NULL,0.867,NULL,NULL,2.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-04 23:00:00,36.25,2.422,NULL,NULL,NULL,2.382,NULL,NULL,NULL,4.804,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 00:00:00,38.4,5.367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 01:00:00,41.26,8.04,NULL,NULL,NULL,NULL,NULL,NULL,5.913,2.127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 02:00:00,37.36,6.457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 03:00:00,32.48,5.455,NULL,NULL,NULL,0.107,NULL,NULL,NULL,5.562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 04:00:00,36.85,5.515,NULL,NULL,NULL,0.783,NULL,NULL,NULL,6.298,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 05:00:00,41.29,8.798,NULL,NULL,NULL,1.842,NULL,NULL,10.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 06:00:00,54.21,8.369,NULL,NULL,NULL,0.031,NULL,NULL,NULL,8.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 07:00:00,53.14,14.872,0.034,NULL,NULL,1.518,NULL,NULL,16.424,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 08:00:00,60.67,9.366,NULL,NULL,92.259,0.255,0.121,NULL,NULL,9.335,92.259,NULL,0.165,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 09:00:00,53.17,9.461,NULL,NULL,NULL,0.27,NULL,NULL,2.083,7.648,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 10:00:00,51.07,8.743,NULL,NULL,NULL,0.19,0.096,NULL,NULL,8.718,NULL,NULL,0.119,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 11:00:00,48.98,8.045,NULL,NULL,NULL,0.191,NULL,NULL,NULL,8.236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 12:00:00,42.93,13.945,NULL,NULL,NULL,0.152,NULL,NULL,9.602,4.495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 13:00:00,41.28,12.24,NULL,NULL,NULL,0.744,NULL,NULL,12.984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 14:00:00,41.26,24,NULL,NULL,NULL,0.504,NULL,NULL,24.49,0.014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 15:00:00,48.54,16.826,NULL,NULL,NULL,NULL,NULL,NULL,7.444,9.382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 16:00:00,46.03,23.283,NULL,NULL,NULL,0.884,NULL,NULL,24.167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 17:00:00,54.53,15.742,0.024,NULL,NULL,1.423,NULL,NULL,17.189,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 18:00:00,59.3,14.564,NULL,NULL,NULL,NULL,NULL,NULL,4.635,9.929,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 19:00:00,47.15,16.48,NULL,NULL,NULL,0.019,NULL,NULL,16.499,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 20:00:00,45.61,15.568,NULL,NULL,NULL,NULL,NULL,NULL,8.227,7.341,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 21:00:00,40.86,13.509,NULL,NULL,NULL,NULL,NULL,NULL,4.631,8.878,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 22:00:00,39.99,8.984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-05 23:00:00,33.21,8.236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 00:00:00,35,1.476,NULL,NULL,130,NULL,NULL,33.202,90,8.203,NULL,NULL,0.071,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 01:00:00,35,0.021,NULL,NULL,130,NULL,NULL,29.296,90,10.652,NULL,NULL,0.073,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 02:00:00,35,1.359,NULL,NULL,130,NULL,0.061,24.776,90,16.371,NULL,NULL,0.151,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 03:00:00,35,0.004,NULL,NULL,130,NULL,0.165,23.424,90,16.084,NULL,NULL,0.331,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 04:00:00,27.63,0.003,NULL,NULL,NULL,0.77,0.238,NULL,NULL,0.45,NULL,NULL,0.085,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 05:00:00,35.42,1.798,NULL,NULL,NULL,0.139,NULL,NULL,NULL,1.831,NULL,NULL,0.106,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 06:00:00,43.78,NULL,NULL,NULL,NULL,0.844,0.008,NULL,NULL,0.753,NULL,NULL,0.083,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 07:00:00,49,NULL,NULL,NULL,189.217,NULL,0.805,135.425,51.194,1.694,NULL,NULL,0.099,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 08:00:00,49,3.305,NULL,NULL,124.069,0.005,NULL,95.352,29.573,2.378,NULL,NULL,0.076,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 09:00:00,48,7.356,NULL,NULL,90,0.02,NULL,67.956,25.838,3.511,NULL,NULL,0.071,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 10:00:00,42,6.018,NULL,NULL,105,0.747,NULL,87.424,22.139,2.144,NULL,NULL,0.058,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 11:00:00,41,6.008,NULL,NULL,105,2.884,NULL,41.817,69.345,2.691,NULL,NULL,0.039,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 12:00:00,40.06,6.617,NULL,NULL,105,NULL,NULL,105,NULL,6.578,NULL,NULL,0.039,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 13:00:00,39.37,6.619,NULL,NULL,10,NULL,NULL,10,NULL,6.586,NULL,NULL,0.033,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 14:00:00,40.86,8.184,NULL,NULL,NULL,0.306,NULL,NULL,8.458,0.006,NULL,NULL,0.026,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 15:00:00,49,95.594,NULL,NULL,NULL,NULL,NULL,NULL,85.248,10.317,NULL,NULL,0.029,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 16:00:00,49,4.523,NULL,NULL,90,NULL,NULL,NULL,92.315,2.187,NULL,NULL,0.021,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 17:00:00,49,4.304,NULL,NULL,216,NULL,NULL,63.099,155.478,1.699,NULL,NULL,0.028,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 18:00:00,49,1.997,NULL,NULL,217,NULL,NULL,NULL,217.584,1.389,NULL,NULL,0.024,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 19:00:00,49,1.989,NULL,NULL,217,NULL,NULL,NULL,217.461,1.509,NULL,NULL,0.019,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 20:00:00,48.05,5.125,NULL,NULL,16,NULL,NULL,NULL,16,5.089,NULL,NULL,0.036,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 21:00:00,40.89,0.632,NULL,NULL,16,1.402,NULL,NULL,18.004,NULL,NULL,NULL,0.03,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 22:00:00,38,0.18,NULL,NULL,16,0.518,NULL,NULL,15.499,1.159,NULL,NULL,0.04,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-06 23:00:00,33,0.027,NULL,NULL,16,NULL,0.203,NULL,14.836,0.946,NULL,NULL,0.042,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-07 00:00:00,21.25,1.15,1.38,NULL,NULL,24.522,14.052,30,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
2020-11-07 01:00:00,18.88,1.073,1.368,NULL,NULL,24.484,13.925,30,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
2020-11-07 02:00:00,13.5,1.026,1.358,NULL,NULL,24.078,13.462,30,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
2020-11-07 03:00:00,12.5,1.025,1.348,NULL,NULL,24.562,13.935,30,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
2020-11-07 04:00:00,13.67,1.366,1.313,NULL,NULL,24.256,13.935,30,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
2020-11-07 05:00:00,17.97,3.686,1.366,NULL,NULL,20.952,13.004,30,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
2020-11-07 06:00:00,16.99,3.271,1.443,NULL,NULL,21.288,13.002,30,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
2020-11-07 07:00:00,51.45,6.409,NULL,NULL,NULL,0.024,0.728,14,1.593,6.337,NULL,NULL,0.775,17,NULL,NULL,NULL,NULL,NULL
2020-11-07 08:00:00,10.1,2.277,1.532,NULL,NULL,27.007,21.003,26.813,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
2020-11-07 09:00:00,34.91,1.328,0.87,NULL,NULL,14.184,9.38,24,NULL,0.002,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
2020-11-07 10:00:00,18.5,2.309,1.487,NULL,NULL,23.649,14.377,30,NULL,0.068,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
2020-11-07 11:00:00,17.75,2.596,1.465,NULL,NULL,23.195,14.156,30,NULL,0.1,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
