"Date,""Total Activated Balancing Energy UP"",""Total Activated Balancing Energy Down"",""Total Activated Balancing Energy"",""Imbalance Price"",""mFRR Price Down"""
2020-11-02 20:45:00,132.56842,188.12707,-55.55865,27.03973706,27.06
2020-11-02 21:00:00,176.16535,141.18282,34.98253,99.6,37.67
2020-11-02 21:15:00,142.21091,163.23713,-21.02622,37.66999999,37.67
2020-11-02 21:30:00,142.60868,183.98675,-41.37807,37.66999999,37.67
2020-11-02 21:45:00,127.74951,163.0424,-35.29289,37.66999999,37.67
2020-11-02 22:00:00,154.08334,97.53007,56.55327,150,37.67
2020-11-02 22:15:00,158.09866,141.39931,16.69935,150,37.67
2020-11-02 22:30:00,149.27068,162.57024,-13.29956,35.37975831,37.67
2020-11-02 22:45:00,111.73687,178.73215,-66.99528,35.45029415,37.67
2020-11-02 23:00:00,62.65531,57.47525,5.18006,99.6,31.61
2020-11-02 23:15:00,62.457,87.57256,-25.11556,29.4662477,30.68
2020-11-02 23:30:00,76.948,93.77127,-16.82327,28.52113534,29.88
2020-11-02 23:45:00,20.21165,112.98974,-92.77809,28.42369046,29.88
2020-11-03 00:00:00,76.86093,131.65137,-54.79044,35.38357758,37.3
2020-11-03 00:15:00,65.51638,131.67041,-66.15403,35.80589367,37.3
2020-11-03 00:30:00,59.59038,130.50505,-70.91467,27.21425178,27.35
2020-11-03 00:45:00,50.15338,142.62509,-92.47171,26.00172108,26.13
2020-11-03 01:00:00,69.47306,155.67575,-86.20269,36.4821581,37.3
2020-11-03 01:15:00,66.54638,173.6185,-107.07212,36.1922428,37.3
2020-11-03 01:30:00,72.03838,187.03484,-114.99646,26.12999999,26.13
2020-11-03 01:45:00,43.78938,173.60769,-129.81831,27.25671643,27.35
2020-11-03 02:00:00,47.37967,130.04378,-82.66411,36.50772405,37.3
2020-11-03 02:15:00,56.05338,157.31401,-101.26063,27.23659508,27.35
2020-11-03 02:30:00,27.18838,146.20225,-119.01387,36.34825118,37.3
2020-11-03 02:45:00,34.35338,150.89479,-116.54141,36.31675437,37.3
2020-11-03 03:00:00,33.31838,136.32864,-103.01026,36.37181696,37.3
2020-11-03 03:15:00,26.19938,142.49157,-116.29219,36.23219064,37.3
2020-11-03 03:30:00,13.73438,134.04378,-120.3094,36.32711058,37.3
2020-11-03 03:45:00,13.56738,129.62902,-116.06164,36.37187282,37.3
2020-11-03 04:00:00,46.00538,146.50076,-100.49538,36.45149828,37.3
2020-11-03 04:15:00,39.27038,161.29382,-122.02344,36.23840421,37.3
2020-11-03 04:30:00,19.34638,139.5612,-120.21482,36.55174732,37.3
2020-11-03 04:45:00,22.95024,106.20438,-83.25414,37.3,37.3
2020-11-03 05:00:00,54.77187,184.16972,-129.39785,31.93404662,32.29
2020-11-03 05:15:00,51.13925,193.48612,-142.34687,36.27992949,37.3
2020-11-03 05:30:00,65.36241,129.16117,-63.79876,37.12782975,37.3
2020-11-03 05:45:00,73.6059,150.49282,-76.88692,36.87514612,37.3
2020-11-03 06:00:00,62.56992,158.11505,-95.54513,27.0692484,27.18
2020-11-03 06:15:00,78.64566,156.49965,-77.85399,27.05108897,27.18
2020-11-03 06:30:00,117.36001,115.43344,1.92657,98.7080652,37.67
2020-11-03 06:45:00,162.66783,127.48469,35.18314,99,37.67
2020-11-03 07:00:00,216.51419,111.52135,104.99284,99.29999996,37.67
2020-11-03 07:15:00,150.98876,122.6248,28.36396,98.61253784,37.67
2020-11-03 07:30:00,165.32958,119.79516,45.53442,98.61145029,37.67
2020-11-03 07:45:00,226.57777,115.73998,110.83779,99.39999996,37.67
2020-11-03 08:00:00,265.66137,95.05399,170.60738,90.43109188,37.67
2020-11-03 08:15:00,182.94713,95.99118,86.95595,84.78213459,37.67
2020-11-03 08:30:00,188.4483,95.3246,93.1237,87.30384545,33.46
2020-11-03 08:45:00,165.5624,105.08929,60.47311,87.18425959,33.46
2020-11-03 09:00:00,193.1941,147.55102,45.64308,90.95034718,37.67
2020-11-03 09:15:00,192.63103,153.44802,39.18301,90.9952301,37.67
2020-11-03 09:30:00,159.50428,153.63287,5.87141,98.89999998,37.67
2020-11-03 09:45:00,148.88267,166.13782,-17.25515,37.29536268,37.67
2020-11-03 10:00:00,139.84166,153.63861,-13.79695,37.52794919,37.67
2020-11-03 10:15:00,143.68831,157.36868,-13.68037,37.54247526,37.67
2020-11-03 10:30:00,152.72279,141.56485,11.15794,101.5999999,37.67
2020-11-03 10:45:00,155.74619,108.38011,47.36608,101.6062434,37.67
2020-11-03 11:00:00,185.39586,122.16816,63.2277,98.89999997,37.67
2020-11-03 11:15:00,180.69917,132.81058,47.88859,99.19999997,37.67
2020-11-03 11:30:00,149.53885,139.44313,10.09572,98.89999996,37.67
2020-11-03 11:45:00,138.40457,121.13285,17.27172,98.89999997,37.67
2020-11-03 12:00:00,163.95095,103.44172,60.50923,98.89999996,37.67
2020-11-03 12:15:00,194.40292,145.20956,49.19336,99.19999997,34.61
2020-11-03 12:30:00,180.4415,113.74539,66.69611,99.2,37.67
2020-11-03 12:45:00,182.52491,124.44155,58.08336,99.39999997,37.67
2020-11-03 13:00:00,219.60411,112.18927,107.41484,99.42705198,37.67
2020-11-03 13:15:00,198.212,122.25102,75.96098,99.40406927,37.67
2020-11-03 13:30:00,219.41673,151.0954,68.32133,99.19999997,37.67
2020-11-03 13:45:00,192.95089,150.97095,41.97994,98.09999995,37.67
2020-11-03 14:00:00,209.7387,103.7201,106.0186,96.92875573,37.67
2020-11-03 14:15:00,241.20484,108.87844,132.3264,99.44043519,37.67
2020-11-03 14:30:00,202.9308,152.42413,50.50667,98.9,37.67
2020-11-03 14:45:00,210.59253,109.79936,100.79317,98.59999996,37.67
2020-11-03 15:00:00,206.53442,99.84351,106.69091,97.0148672,37.67
2020-11-03 15:15:00,134.27823,98.252,36.02623,98.59999994,37.67
2020-11-03 15:30:00,212.78909,98.57168,114.21741,98.19999996,37.67
2020-11-03 15:45:00,217.8509199,94.00996,123.8409599,97.89999991,37.67
2020-11-03 16:00:00,178.07687,112.17813,65.89874,96.97176455,37.67
2020-11-03 16:15:00,212.07348,109.1633,102.91018,90.3494211,37.67
2020-11-03 16:30:00,238.91865,117.88896,121.02969,98.89999997,37.67
2020-11-03 16:45:00,347.48123,109.749,237.73223,98.29999997,37.67
2020-11-03 17:00:00,215.78586,115.18,100.60586,97.86704601,37.67
2020-11-03 17:15:00,211.55242,147.72611,63.82631,98.61059452,37.67
2020-11-03 17:30:00,219.3123,141.02085,78.29145,98.6,37.67
2020-11-03 17:45:00,177.16474,161.72205,15.44269,98.59999997,37.67
2020-11-03 18:00:00,165.91472,132.75946,33.15526,96.90445362,37.67
2020-11-03 18:15:00,179.27663,165.1795,14.09713,99.29999994,37.67
2020-11-03 18:30:00,167.80092,180.54785,-12.74693,29.74479901,37.67
2020-11-03 18:45:00,150.74691,176.7444,-25.99749,30.24145802,37.67
2020-11-03 19:00:00,140.62825,119.16889,21.45936,95.58497549,37.67
2020-11-03 19:15:00,135.44432,146.01011,-10.56579,37.66999999,37.67
2020-11-03 19:30:00,123.893,144.18731,-20.29431,37.66999999,37.67
2020-11-03 19:45:00,129.573,140.47647,-10.90347,37.66999999,37.67
2020-11-03 20:00:00,217.64728,121.1276,96.51968,97.9050924,37.67
2020-11-03 20:15:00,211.9893,140.27704,71.71226,98.33030393,37.67
2020-11-03 20:30:00,109.50337,122.07406,-12.57069,37.66999999,37.67
2020-11-03 20:45:00,78.04265,165.50905,-87.4664,37.66999999,37.67
2020-11-03 21:00:00,134.18695,189.70604,-55.51909,13.37485682,13.6
2020-11-03 21:15:00,82.21714,217.20603,-134.98889,11.59842181,11.6
2020-11-03 21:30:00,75.02347,229.90187,-154.8784,9.12531508,11.6
2020-11-03 21:45:00,34.42602,233.10444,-198.67842,9.15954937,11.6
2020-11-03 22:00:00,110.1486,176.08365,-65.93505,34.03331911,34.04
