"Date,""MCP"",""Buy_Exports_GR-TR"",""Buy_HV_LOAD"",""Buy_LOSSES_LOAD"",""Buy_LV_LOAD"",""Buy_MV_LOAD"",""Sell_Imports_AL-GR"",""Sell_Imports_BG-GR"",""Sell_Imports_MK-GR"",""Sell_Imports_TR-GR"",""Sell__SUPPLY"",""Sell_Big Hydro_SUPPLY"",""Sell_Lignite_SUPPLY"",""Sell_Natural Gas_SUPPLY"",""Sell_RES_SUPPLY"",""Buy_Exports_GR-BG"",""Buy_Exports_GR-MK"",""Buy_Exports_GR-AL"",""Buy_Exports_GR-IT"",""Sell_Imports_IT-GR"",""Buy_PUMP_LOAD"",""Buy_Imports_IT-GR"",""Sell_Exports_GR-IT"",""Buy_CRETE LOAD_LOAD"",""Sell_CRETE CONVENTIONAL_SUPPLY"",""Sell_CRETE RENEWABLES_SUPPLY"""
2020-11-02 01:00:00,43.09,NULL,1007.881,115,1875.374,755.608,295,600,150,NULL,0.16,NULL,504,1796.401,408.302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 02:00:00,43.01,NULL,1018.357,112.5,1807.01,751.982,295,600,150,NULL,0.171,NULL,504,1724.6,416.078,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 03:00:00,43.09,NULL,1018.492,112,1793.379,758.059,295,600,150,NULL,0.176,NULL,504,1737.873,394.881,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 04:00:00,43.09,NULL,1018.817,116,1874.895,796.199,295,600,150,NULL,0.169,NULL,504,1864.001,392.741,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 05:00:00,54.03,NULL,1015.728,116.5,2123.16,926.62,295,600,150,NULL,0.163,35,504,2213.804,384.041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 06:00:00,54.14,NULL,999.046,121,2554.168,1117.045,294,600,150,NULL,0.151,26,504,2738.602,478.506,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 07:00:00,54.03,NULL,973.374,118.5,2877.499,1260.416,295,600,150,NULL,0.276,103,504,2717.249,860.264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 08:00:00,54.03,NULL,944.436,116.5,3108.405,1339.957,268,600,150,NULL,0.566,143,504,2586.006,1257.726,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 09:00:00,54.03,NULL,904.112,117.5,3210.075,1376.888,268,500,150,NULL,0.905,93,504,2569.235,1528.435,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 10:00:00,52.99,NULL,804.997,119,3353.894,1403.946,262,448,150,NULL,1.21,98,504,2555.126,1668.501,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 11:00:00,54.03,NULL,778.548,117,3406.791,1412.63,255,442,150,NULL,1.428,133,504,2543.172,1691.369,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 12:00:00,54.03,NULL,761.477,116,3388.639,1421.754,255,472,150,NULL,1.501,118,504,2587.944,1604.425,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 13:00:00,48.25,NULL,764.97,116,3188.759,1390.306,255,472,150,NULL,1.377,60,504,2588.144,1429.514,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 14:00:00,54.03,NULL,825.068,119.5,3028.489,1328.171,260,447,146,NULL,1.146,35,504,2847.58,1093.502,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 15:00:00,66.65,NULL,826.442,121.5,2951.55,1281.409,264,520.087,146,NULL,0.832,35,521,3075.63,654.352,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 16:00:00,90.02,NULL,841.585,131.5,3181.282,1271.153,266,599,146,NULL,0.48,158.066,622,3244.066,412.908,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 17:00:00,90.1,NULL,921.01,138.5,3474.295,1284.956,254,600,150,NULL,0.234,649.304,622,3167.61,396.613,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 18:00:00,90.08,NULL,854.598,144.5,3684.706,1286.362,272,600,146,NULL,0.157,796.773,622,3157.088,389.148,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 19:00:00,90.08,NULL,855.012,145,3716.839,1272.192,253,600,146,NULL,0.158,898.97,622,3119.882,377.033,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 20:00:00,90.08,NULL,859.663,139.5,3546.516,1207.048,230,600,150,NULL,0.162,563.191,622,3223.851,363.523,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 21:00:00,89.5,NULL,885.555,128,3115.977,1103.515,205,600,150,NULL,0.171,95,598.919,3231.65,353.307,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 22:00:00,54.14,NULL,804.226,121,2897.005,1062.463,205,600,150,NULL,0.173,76,504,2999.506,350.015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 23:00:00,54.03,NULL,962.928,118,2414.566,999.148,293,600,150,NULL,0.172,NULL,504,2615.226,336.244,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 00:00:00,40.85,NULL,987.171,118.5,2130.12,899.746,284,600,146,NULL,0.145,15,504,2254.725,344.667,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 01:00:00,40.85,NULL,1003.059,114.5,2011.072,881.318,284,600,150,NULL,0.147,15,504,2129.261,357.541,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 02:00:00,40.85,NULL,1012.617,113.5,1924.331,867.283,284,600,150,NULL,0.165,15,504,2020.955,373.611,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 03:00:00,40.85,NULL,1013.107,119,1917.856,869.007,283,600,150,NULL,0.183,15,504,1983.581,393.206,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 04:00:00,40.85,NULL,1013.498,116,1960.107,893.82,284,600,150,NULL,0.178,15,504,2034.468,395.779,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 05:00:00,41.84,NULL,1010.564,117,2212.309,994.666,284,600,150,NULL,0.157,15,504,2380.722,408.66,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 06:00:00,60.8,NULL,993.198,121.5,2636.876,1157.844,300,600,150,NULL,0.148,41,504,2831.952,482.318,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 07:00:00,68.25,NULL,967.658,121.5,2980.115,1289.811,300,600,143,NULL,0.273,46,521,3007.043,741.768,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 08:00:00,61.39,NULL,938.641,122,3240.807,1360.098,286,600,136,NULL,0.483,50,514.658,3083.473,990.932,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 09:00:00,60.8,NULL,900.64,121,3378.202,1389.029,287,600,146,NULL,0.71,90,504,3021.974,1139.187,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 10:00:00,61.39,NULL,802.983,121,3506.729,1412.747,280,600,141,NULL,0.85,65,517.731,3014.473,1224.405,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 11:00:00,69.24,NULL,777.166,122.5,3514.942,1403.132,274,600,146,NULL,1.042,45,521,2983.631,1247.067,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 12:00:00,54.34,NULL,760.337,123,3447.574,1399.611,273,600,150,NULL,1.103,65,504,2924.061,1213.358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 13:00:00,43.95,NULL,765.927,121,3260.189,1359.075,274,494.469,117,NULL,1.074,81,504,2873.038,1096.61,NULL,NULL,NULL,NULL,65,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 14:00:00,46.95,NULL,824.487,123,3085.885,1295.337,273,560,123,NULL,0.963,46,504,2880.785,871.282,NULL,17,NULL,NULL,86.679,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 15:00:00,51.05,NULL,825.45,125.5,3064.929,1252.839,300,584.384,139.59,NULL,0.727,20,504,2991.291,582.726,NULL,NULL,NULL,NULL,146,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 16:00:00,61.95,NULL,840.988,137.5,3205.409,1231.324,300,600,150,NULL,0.399,20,521,3130.686,430.426,NULL,NULL,NULL,NULL,262.71,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 17:00:00,87.7,NULL,915.727,145,3664.758,1252.967,300,600,150,NULL,0.155,20,748,3222.231,440.861,NULL,NULL,NULL,NULL,497.205,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 18:00:00,85.9,NULL,850.135,151,3768.795,1249.041,270,600,150,NULL,0.148,365,620.364,3154.957,443.694,NULL,NULL,NULL,NULL,414.808,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-03 19:00:00,76.95,NULL,852.411,145.5,3831.664,1250.677,270,600,150,NULL,0.157,532,521,3200.887,439.883,NULL,17,NULL,NULL,383.325,NULL,NULL,NULL,NULL,NULL,NULL
